M01,Z01,E05.318.308,E05.318.760,C17.800.174.255.700,C17.800.815.255.700,F01.145.126.980.875,N01,N06,N05,I01,F01.145,F01.752,F04.711,I02,F03.550.150.150,A12.200.467,J02.200.700.500,J02.500.350.525.500,D27.888.284.101.268,C20.543.312.750,C21.223.750,C08.127.108.495,C08.674.095.495,C20.543.480.680.095.495,C24.102,C24,C26.716,E02.831.489,H02.010.500,B01.050.150.900.649.801.400.112.400.400,B01.050,A13,E05.820.150,G05.355.090,B05.620.136,A10.336.482,F01.145.113,A16.331,E05.017,E05.598,A11.251,IVMENTION,A44,PMID
0,1.0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,10873135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,9463555
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0.25,0,0,F,Y,15071173
0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,9463547
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,F,Y,18409622
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,19760618
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,10523872
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,9418944
0,0.6,0,0,0,0,0,0,0.8333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,18308961
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,16815981
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,T,N,11021515
0,0.8,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,7074487
0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,22008236
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,F,Y,20701988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,1560321
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,19908531
0,1.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,1862801
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,T,Y,10568701
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85714287,0,0,0,0,0,0,0,0,0,0,T,Y,12852728
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,6654740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,1115684
0,1.0,0.4,0.5714286,0,0,0,1.0,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,N,12645100
0.42857143,1.0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,17465985
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,22420031
0,1.0,0.4,0.42857143,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,22723843
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,7966444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.6666667,0,0,0,0,0,0,0,0,0,0,F,Y,11961222
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,11961221
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,N,4906438
0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,16900247
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,6335754
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,9072378
0.75,1.0,0.4,0,0,0,0,0,0.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,F,N,12212974
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,3439199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888889,0,0,0,0,0,0,0,0,0,0,F,Y,6093740
0,0,0.4,0,0,0,0,0,0,0,1.0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,N,21081930
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,0,0,F,Y,6745232
